,tweetnegative,keyphrases
0, aston villa midfielder ross barkley kicked out of london bar after row with staff villa have a few injury issues to deal with aston villa fc breaking hearts since 1874 una dey mad very very mad football star ross barkley kicked out of london bar after row with staff can you imagine the villa twitter meltdown if our keeper let someone score on purpose fucking hell ross barkley kicked out of london bar after row with staff latest ross barkley kicked out of london bar after row with staff people think the north london clubs cant compete financ people think the north london clubs cant compete financially with the other top sides but in the past 2 5 years they have theyve just been bad at it holy hell aston villa easy to forget how much theyve spent,"[('latest ross barkley', 0.5399), ('fucking hell ross barkley', 0.555), ('mad football star ross barkley', 0.5747), ('holy hell aston villa', 0.5919), ('aston villa midfielder ross barkley', 0.7456)]"
1,why are so many people obsessed with people booing tomorrow i m sure some people crave it so they display their faux outrage on twitter weak weak weak when you look at the reasons 4 previous points deductions 4 other clubs this stinks of 1 rule for them 1for the rest us it should be min 21 points each the games rigged where was harry kane and son against aston villa these boys are truly finished just like tottenham as cesc would say football is fucking unbelievab year 2037 every club relegated from any league in the world can trace their own incompetence to sheffield uniteds hawkeye none goal vs this crime against humanity has been attributed to the zombie apocalypse humanity will cease to exit by 2040,"[('clubs', 0.261), ('uniteds hawkeye none goal', 0.2702), ('faux outrage', 0.2873), ('aston villa', 0.2927), ('tottenham', 0.3382)]"
2,var pundits rivals etc there are not happy abt chelsea revive under new coach tuchel they dont want us not to p if liverpool win aston villa win and tottenham win the shirts off and we are fucking raving if you re fortunate enough to be at villa park tomorrow and you see the players taking a knee boo the fuck out of it keep politics out of football anyone else get on api error when doing the health questions manchester united wont win wolve tomorrow harry kane against aston villa what s the f ing point man ross barkley kicked out of london bar after drunken row with staff i don t know how you guys think chelsea will beat aston villa easily the game is not predictable yet,"[('aston villa', 0.5018), ('chelsea', 0.5282), ('liverpool win aston villa win', 0.5394), ('villa win', 0.5673), ('happy abt chelsea', 0.5779)]"
3,first of all aston villa is not a match so dont pin your hopes on them were going to lash them ankasa what a crock of shite one of the best teams in england needs only to beat a mid table team in aston villa to cement 3rd place the negativity towards chelsea is getting tiring now reporter drops worrying chansiri update thatll outrage sheff wed fans karma is a bitch i suppoit too everton need to loose mate u gonna have to sell the naming rights to the emirates to aston villa to get him call it the shit villa park you guys have conceded more goals than aston villa everton arsenal spurs and even brighton so how many goals did he stop on his own idiots asking 90mn for this,"[('everton', 0.4379), ('shit villa park', 0.4661), ('villa', 0.4921), ('aston villa everton arsenal spurs', 0.5372), ('aston villa', 0.5531)]"
4,milot rashica does not want to join aston villa and be involved in another relegation battle according to deichstube hourihane is so fucking slow mad villa fans ever thought he was good enough for the prem l same ones who rate smith your club doesnt play well and win against teams like aston villa i have shame no cant do i know but that first statement is a no no no true supporter of chelsea should use such a word especially when the opposition is aston villa couldnt even afford a bloke in a dinosaur costume rashica turned down villa last summer because he didnt want to be in a relegation battle not welcome at villa park 33 titles to 26 titles is not enough embarrassment for you youre bothered about a league aston villa has won,"[('villa', 0.4847), ('aston villa', 0.5353), ('fucking slow mad villa fans', 0.5591), ('villa fans', 0.563), ('league aston villa', 0.5634)]"
5,aston villa have knocked him back but we should resign him that s ambition for you ey i have been trying to get a response from aston villa phones line email and on here about my tickets for tomorrows game as 2 have no picture on them can they still go feeling so let down at the moment by the staff england star ross barkley kicked out of bar in mayfair hotel following drunken row since early december the only decent teams weve beaten were leeds in january and aston villa in march weve failed to beat and lost almost every other game against teams better than leeds and villa in the last 5 months its so mad that this was only three years ago it feels like so much longer,"[('aston', 0.4017), ('aston villa phones line email', 0.4447), ('villa', 0.4486), ('staff england star ross barkley', 0.4913), ('aston villa', 0.5043)]"
6,i have seen your screen but this isnt the main reason i can tell ya my screen is in german but it says that werder asked for 20m while aston villa didnt want to pay that much but then villa found someone else while bremen sucked their own toes no they don t how you comparing a side that plays in the ucl regularly to aston villa have some shame lets kill this aston villa once amp for all any team that draws or lose will not make it especially those that have 66 points again you re so silly we finished below aston villa last season but who s a better team us or them your logics going against you here because we beat them comfortably twice but they finished higher what s it gonna be,"[('werder', 0.3764), ('aston', 0.3836), ('villa', 0.4894), ('bremen', 0.4933), ('aston villa', 0.568)]"
7,looking forward to tomorrow if nothing else just to find out what the fuck a vomitory is the fact that people think aston villa will beat us still shocks me if you dont like it id urge you to consider whether this is the club for you as if other teams didnt have so much injuries before its not citys fault that liverpool didnt have the strength in depth and without alisson only they did lose against aston villa 7 2 but as usual their fans wont admit that they were simply not good enough like kast 2 years last summer rashica didn t want to move to because he is afraid to enter relegation fight,"[('relegation fight', 0.4036), ('aston', 0.429), ('villa', 0.4342), ('liverpool', 0.4768), ('aston villa', 0.5267)]"
8,ross barkley had the world at his feet when he made his name at everton but now on loan at aston villa he cannot even make the starting xi its not a good possibility with respect tottenhams european hopes have taken a big blow as aston villa secure a win in london dean smith has a few injury issues to contend with looking at the names of some of the people going i fear that the players might think theyve signed for blues unhappy jack trapped in a contract that means he can t play for his boyhood idols arsenal manchester united and spurs,"[('tottenhams european hopes', 0.3692), ('villa', 0.4041), ('aston villa', 0.4441), ('barkley', 0.4747), ('ross barkley', 0.5454)]"
9,can i please ask every villa fan that is lucky enough to have a ticket for tomorrow to please make as much noise as a full house and absolutely no booing bloody embarrassing scenes after so long seeing fans boo please make plenty of noise for the jealous ones at home aston villa pasted you before your 10 million injuries this is awkward i d throw 5mil at them at this point rashica rejected aston villa because he thought they were a relegation side lmao milot rashica didnt want to come to villa to stay out of a relegation battle werder bremen have just been relegated rashica value dropped heavily video drunk ross barkley booted out of bar after row with diners how this never made goal of the season sholisting is beyond me,"[('villa', 0.5079), ('relegation side lmao milot rashica', 0.5106), ('aston villa', 0.5258), ('home aston villa', 0.5583), ('villa fan', 0.6182)]"
