,tweetnegative,keyphrases
0, are facing the prospect of a points deduction after again being charged with failing to control their players naturally i m always going to hate tottenham i d like to think they will always hate me in the dress gareth bale on eden hazards reaction against chelsea i have seen it it was literally as if he had just murdered eve it s a fucking name stfu chelsea making the la liga champions amp runners up look like farmers isn t spoken about enough he s not even the 5th best defender at chelsea kindly shut up your boss is actively funding the ethnic cleansing of palestinians real madrid s win today is as useless as chelsea s win against leicester city after they lost the fa cup final,"[('chelsea win', 0.3833), ('points deduction', 0.4142), ('chelsea', 0.421), ('fucking name stfu chelsea', 0.428), ('tottenham', 0.4336)]"
1,bro i know two chelsea s and they have the same fucking personality like identical is that a thing or ironic i just don t see kane wanting to go to a london club and i don t see levy selling to one haaland lukaku martinez hell even messi maybe but kane won t be going to chelsea a lot of other stars moved on and some pretty quickly chelsea green for example was like oh well screw it the hot mess is back villa have a few injury issues to deal with you chelsea lot are some of the biggest drug no he should bear paof the blame he was mentally weak if he scored his pk chelsea would still be in competition his miss allowed giggs to win his pk was so feeble barely played for chelsea,"[('chelsea green', 0.3597), ('chelsea', 0.3902), ('chelsea lot', 0.4293), ('kane', 0.4404), ('pk chelsea', 0.457)]"
2,fuck chelsea fuck israel f ck you chelsea free palestine romelu got disrespected at chelsea chelsea gonna lose that game tomorrow btw we re gonna let chelsea push the underdog story narrative after spending 250m last summer ffs football in the mud van der meyde signed from inter he turned to be a waste of money however he came off the bench and played the cross for gosling s 118th minute winner against the shite in the fa cup 4th round replay in 2009 we got to the final and lost 2 1 to chelsea when chelsea lose fa cup ucl and drop out of top 4 with a loss tomorrow im chelsea fan and i dont like this post,"[('chelsea', 0.506), ('chelsea fan', 0.554), ('chelsea fuck', 0.6169), ('chelsea free palestine romelu', 0.6433), ('fuck chelsea', 0.6617)]"
3,i dont want to win the champions league cos the fans will come knock out doors just to tell us they have a troph chelsea are cancelled why we didn t see a solidarity tweet with palestinians who were killed and bombed by some jews last days f k you roman abramovich by the way i respect all chelsea fans this just sounds ignorant and it sucks to know a fellow chelsea fan has this privileged mindset i hope you have more life experiences that can open your eyes to the realities of this world he wont get a look in at chelsea look at tomori absolutely ridiculous they can have 40 players out on loan might have to be a chelsea boot wearing ass nigga tomorrow no club has worse pr than chelsea,"[('troph chelsea', 0.5242), ('chelsea', 0.5496), ('chelsea fan', 0.625), ('chelsea fans', 0.6446), ('fellow chelsea fan', 0.6612)]"
4,and you don t understand why people don t like chelsea i think rice has a lot of potential but i don t like the price of 90m and in my opinio chelsea facing possible points deduction after 20 man brawl with leicester imagine if chelsea bottle the final and tmr lmaooo dog id be vex is hell bringing the team from 10th to a final and top 4 to bottle if chelsea win champions league i will post my dick walahi i pray that doesnt happen oo if you ever disrespected frank lampard even as a manager you should not suppochelsea football club you can see why chelsea and now villa don t want him then you have some of our lot,"[('champions league', 0.4039), ('villa don', 0.4069), ('opinio chelsea', 0.4716), ('chelsea win', 0.521), ('chelsea', 0.5517)]"
5,chelsea clinton obviously didnt inherit any of her parents intellect or she is still in denial about dad and his inte but yeah it s definitely the bundesliga that s unserious loool this doesn t mean anything to do with palestine its just a which chelsea have been doing to a lot of groups and it s aigainst anti semitism we die here there could be big fines and even future points deductions i love chelsea but this action to suppojews is not justice you should know what israel do to palestinians every day by killing children and occupy their land enough you can rate declan rice but still think he isn t worth upwards of 50m chelsea fans protect this guy more than they do their,"[('palestine', 0.388), ('palestinians', 0.3909), ('chelsea clinton', 0.4002), ('chelsea', 0.5014), ('chelsea fans', 0.5493)]"
6,as conniving worded as this stand is it is fooling no one it s not about anti semitism chelsea owner has declan rice prefers chelsea by the way u dumb shit why did you step into that diarrhea up to your thighs chelsea now this is the state supports how can you expect me to be a fan if i know your money supports this cruelty come back when you stato suppohumanity and human rights maybe then i will consider watching a chelsea game and rey is not listening to her about staying away from chelsea as a chelsea fan i retired from encouraging this team you misspelt chelsea fan fuck chelsea hope u lose in final never seen a chelsea fc stands with the uk s muslim community or any club calm just kick ur ball,"[('chelsea fc', 0.4967), ('fuck chelsea', 0.5857), ('chelsea fan', 0.6359), ('chelsea fan fuck chelsea', 0.6488), ('anti semitism chelsea owner', 0.649)]"
7,all you dusty chelsea fans look at yourselves funny how barca sold him for being too old now signing aguero on a 2 year contract selling him was bad me get out of there that shit is dangerous what exactly is wrong with the tweet chelsea dominated both 1st and 2nd they shouldnt brag about it spanish clubs dominated the cl for years but right now they arent on the same level with the pl clubs whats wrong with that the agenda against chelsea is so bait it appears most people in the comments are surprised im not chelsea fc takes its team to apartheid israel for training amp be given fake ass history lessons no chelsea won t buy rice and not even for that ridiculous price una dey mad very very mad,"[('chelsea fc', 0.4281), ('chelsea', 0.4625), ('dusty chelsea fans', 0.4889), ('tweet chelsea', 0.5134), ('chelsea fans', 0.5617)]"
8,one of the guitarists from chelsea grin cursed me out at like 6 am on a sunday for asking why he followed miracle whip on here they make it hard to be a chelsea fan at times it makes me sad to read this dan as someone who likes following your chelsea updates why is your answer to a post about antisemitism in the uk about freeing palestine what has that got to do with british jews who are being made victim to racist attack dt george galloway james casey chelsea manning leaked a video of an american military helicopter gunning down unarmed civilians including a reuters jo as a chelsea fan this tweet is unacceptable beacause we are against israel here not all jewish,"[('jewish', 0.3435), ('antisemitism', 0.3804), ('british jews', 0.4208), ('chelsea fan', 0.4417), ('racist attack dt george galloway james casey chelsea', 0.4804)]"
9,lampard came to chelsea too early gerard took a better decision but to me he is still not ready for liverpool have you ever seen club d fend muslim whene they were being attacked calling them terrorists no chelsea is making jewish people the victime in the story and thats lie mike pence is watered down water sauce hes so bland and empty and devoid of flavor and content that putting him on water makes the water taste watered down if chelsea eventually go win next week saturday if u dare tweet anything that night i will call for ur arrest the propaganda machines aka preventative healthcare are all over it in countries with much higher incidence of covid 19 than us for how long do you think our dumb luck will stop us having a devastating outbreak here,"[('devastating outbreak', 0.2619), ('lie mike pence', 0.3318), ('liverpool', 0.4089), ('chelsea', 0.411), ('lampard', 0.4727)]"
