,tweetnegative,keyphrases
0, really ran agenda against this man and leeds united i chose not to apply for a ticket for tomorrows game dont think its right that a reduced crowd is allowed should be full capacity or none at all yes i am bitter zero relevance to anything between leeds and sheffield united idc the sad paof this video is that he doesnt seem to believe realise how instrumental he alone has been to our return to pl fans havent been able to remind him live in the stadium make it clear against wba utter legend todays the day we say goodbye to two legends and im just not ready for it jordan henderson is not happy with leeds united,"[('henderson', 0.3296), ('stadium', 0.3465), ('sheffield united', 0.3538), ('leeds', 0.4021), ('leeds united', 0.45)]"
1,and ur waffling on about liverpool in a comparison between sheffield united and leeds liverpool s net spend being more than ours doesn t make us look worse it just shows how much you ve spent couldnt give a shit about ur trophies it s not relevant cant decide who i want to win the championship playoff final thomas frank is an absolute whinging little minge and looking at steve cooper makes me feel physically sick had to take down the pre match for tomorrow s game people as i messed up with the edit but i ll be back tomorrow night with the post match once i get back from elland road,"[('championship playoff final thomas frank', 0.3546), ('united', 0.3657), ('sheffield', 0.371), ('liverpool', 0.3997), ('sheffield united', 0.4547)]"
2,i ve lived in norwich for quite a few years now and there are some real thick fuckers down here real grade a inbreds can t wait to sell up and fuck off away from this kiddy fiddling cesspit what is it with liverpool taking the t shithing the completely wrong way why does pablo have to leave cant he just stay forever reporter drops worrying chansiri update thatll outrage sheff wed fans be honest leeds second season syndrome hate leeds or love leeds surely if you believe this your a dummy sorry jordan we should have realised that 11 t shirts were worse than destroying the entire fabric of european football football makes you bitter and resentful at times and i never thought id love leeds united players like i used to when i,"[('norwich', 0.4352), ('liverpool', 0.4629), ('leeds', 0.4888), ('leeds united', 0.5105), ('leeds united players', 0.518)]"
3,sorry can t talk rn crying over pablo amp berra montages ole at scum are after pablo bless you have absolutely no understanding of business wages to turnover ratio at barca before the pandemic was ridiculously and dangerously high they are the spanish leeds united 20 years ago administration is beckoning if theres one of those clapper things on my seat when i get in to tomorrow i pity the fool who is sat in front of me its going up his arse we are already out of stock on medium and large matt grimes and his mum can fuck off still come on brentford matt grimes and his mum vs thomas frank sergio canos and the rest of the brentford muppets can they both lose cmon barnsley dont want to have to travel to swansea or brentford next season,"[('brentford matt grimes', 0.436), ('swansea', 0.4408), ('cmon barnsley', 0.452), ('brentford muppets', 0.4662), ('brentford', 0.4795)]"
4,big sam is ready to spoil the elland road party you can t tell which side hinchcliffe wants to win can you hates anything yorkshire probably wont sleep tonight knowing that jordan henderson thinks disrespected the bindippers i would ve been 13yo but can t for the life of me remember this i probably couldn t see through the tears god clappers are awful after seeing their latest advert that s me boycotting wrong they broke two rules first is the moral rule of utmost good faith that leeds united got done for with spy gate second they re not permitted to sign up to any other competition other than those specified by epl fa and uefa my affair continues,"[('united', 0.3913), ('side hinchcliffe', 0.418), ('elland road party', 0.4252), ('leeds', 0.5127), ('leeds united', 0.523)]"
5,dirty bastard grimes spitting on the pitch couldn t get it out and helped it along with his fingers wouldn t wanna be the next fucker shaking his hand i m that pissed i might get the guitar out the loft i threatened to get out during the 1st lockdown and fucking play like shit the brown hole has a lot to answer for no i ll tell you what s disrespectful henderson your club thinking you can ride rough shod over the rest of football so long as you ring fence your money henderson slams leeds for disrespectful gesture towards liverpool players,"[('grimes', 0.4199), ('dirty bastard grimes', 0.5167), ('henderson', 0.5191), ('money henderson slams', 0.5528), ('disrespectful henderson', 0.7098)]"
6,thought tarn were like watching brazil this season they ve nowt on wings n constantly passing ball to other team think ref is a bit poor mind you i m used to watching proper football being a fan better stawatching htfc wi your molly next season bud liverpool tried to destroy everything english football stands for to line their owns pockets but leeds are disrespectful wise up dickhead watching both playoff 2nd legs today you know what reminds me how much i hate the years of arduous torture amp the likes of matt grimes being described as having a wand of a left foot even hourihane looks good there never will i darken it s doors again we have great sadness that they will no longer be a paof the institution,"[('tarn', 0.3604), ('english football', 0.3795), ('leeds', 0.4038), ('liverpool', 0.4104), ('next season bud liverpool', 0.5482)]"
7,how can grimes score a goal like that when he was useless at leeds the thing that worries me most about jordan henderson slagging off is the fact that he s so out of touch with his own fans or he s as thick as shit when you see all the other clubs doing shit that have pissed us off over the last 20 years henderson slams leeds for disrespectful gesture towards liverpool players he left champions for people fighting midtable position with leeds united such a downgrade why because they didn t want you joining d3 deluded derby winner gets to brag about whos fans hate more,"[('leeds united', 0.3362), ('grimes', 0.4723), ('years henderson slams', 0.5011), ('jordan henderson', 0.5036), ('henderson', 0.5369)]"
8,you seem to have misunderstood klopps point he isn t whining about where we are in the table he s stating a team wouldn t be able to win the title which as far as i can see leeds haven t what are we missing so many careers ended in this liverpool captain jordan henderson slams disrespectful leeds united always respected henderson as a player in this he is wrong outsiders really don t get it when you re leeds through and through you re just not going to throw it all down the drain to be another number at spurs etc twat stokoe accusing the don of being a cheat shithole roker park dodgy ground to visit local old bill twats to fans plenty of animosity from this fan towards makams,"[('henderson', 0.3991), ('leeds', 0.4086), ('leeds united', 0.4295), ('liverpool captain jordan henderson', 0.4522), ('disrespectful leeds', 0.5337)]"
9,also tried to buy their way out of d3 amp failed miserably smh at the few fans who when youre gutted about pablo amp bera are like its football theyre too old now they have to go why you upset mate we understand and agree with the decision but we can still be gutted didnt expect pablo to be rolled out in a zimmer in 30 years football is played on the field if the talk is not matched by the play tables will turn look at leicester and leeds united tables have turned,"[('united', 0.2676), ('d3', 0.2698), ('leeds united', 0.3166), ('pablo', 0.3552), ('pablo amp bera', 0.4404)]"
