,tweetnegative,keyphrases
0, real madrid s win today is as useless as chelsea s win against leicester city after they lost the fa cup final honestly i firmly believe he still has that in his locker bulking up didn t do him any good despite evolving as a striker remember against leicester city away when he skipped past 3 4 players he s got it he s too stocky now and has lost that explosiveness but as an arsenal fan its the hope that kills you sigh drama tomorrow villa gets chelsea in a choke hold but leicester still lose to spurs liverpool make top 4 city beat everton and arsenal i can never tell what happens with them they are mad over there unpredictable bastards whats your prediction,"[('arsenal fan', 0.4137), ('chelsea', 0.4507), ('chelsea win', 0.5195), ('real madrid', 0.5309), ('sigh drama tomorrow villa', 0.5814)]"
1,i m not reading it not interested our conversation is over because you can t say the israeli occupation is wrong you keep writing to leicester city coz players showed solidarity with palestinians you need to right to arsenal united and many many more they were seething at the contemptuous gesture it was the talk of the dressing room in the build up the whole squad holy cow i m an supporter but this still rules did i huyour feelings cry more you little bitch riyad mahrez and man city will rip you a new one next saturday pride of chokers youll choke again in the cl final just like you did against leicester city in the fa cup final chelshit,"[('palestinians', 0.3857), ('arsenal', 0.4387), ('leicester city', 0.4412), ('leicester', 0.4483), ('israeli occupation', 0.4523)]"
2,6 losses on the bounce at anfield being embarrassed by manchester city after errors from allison then dropping points against leicester in a 15 minutes of madness at the king power then back to back wins in london against spurs and westham chelsea and leicester city have been charged by the football association for failing to control their players leicester could miss out on champions league football again top comment by a cardiff city fan here true sportsmanship as mentioned already its a shame that when coventry fans congratulated leicester a few werent happy about this some people take football rivalries way too seriously and personally i guess this makes this leicester city title win the least impressive title since farsley celtic in 2015,"[('champions league', 0.4804), ('champions league football', 0.4954), ('leicester', 0.5151), ('coventry fans', 0.5251), ('leicester city title', 0.6316)]"
3,look at leeds results against city utd lpool chelsea spurs leicester etc etc leeds would shit on 16 17 of the bundes teams pro palestinian activists stood on the roof of an israeli weapons manufacturing factory in the british city of leicester yesterday calling for its closure the drones manufactured in this factory are used in the attacks on the gaza strip chelsea supported israel and lost the fa to leicester the same way theyll lose tbe champions league to man city report player arsenal in advanced talks with will make final decision tomorrow sorry but i do hope we miss out and he opts for leicester city as we can do netter than another old ass player in the squad,"[('city utd lpool chelsea', 0.4902), ('leicester city', 0.4965), ('leicester yesterday', 0.5023), ('leicester', 0.5157), ('gaza strip chelsea', 0.5563)]"
4,of course this is coming from a salty cheelsea fan we ruined your form so you lost the fa cup final to leicester you will lose the final to city another dirty oil club thats run better than you no trophies after 250 mill spent on flops like havertz and ziyech banter oil club leicester city and ac milan will most likely not qualify for the ucl football can be a cruel game at times but got beaten up twice by leicester city reporter drops worrying chansiri update thatll outrage sheff wed fans leicester city wont make top 4 he called me a goat i didnt respond he called me a stupid guy i ignored him i couldnt take it,"[('salty cheelsea fan', 0.467), ('leicester city', 0.4718), ('ucl football', 0.4734), ('club leicester city', 0.5105), ('leicester', 0.5131)]"
5,st johnstone are great so are rangers and fuckin city and leicester and lille and every shittin fucker except celtic anounce howe after leicester city and tottenham suffered devastating defeats midweek both are in desperate need of a win coming into th the white racist settler oppressor has to photoshop the real photo impossible task defending the indefensible but u just lost to leicester city three will not go into two as champions league qualification goes to the wire which club will be left disappointed 4 liverpool theyll never be title challengers again till they get rid of chris morgan in the physio room i know but that first statement is a no no no true supporter of chelsea should use such a word especially when the opposition is aston villa weak minded mentality,"[('tottenham', 0.4932), ('chelsea', 0.5201), ('liverpool', 0.5426), ('rangers', 0.5512), ('st johnstone', 0.5519)]"
6,they wanna chat to city when they cant even chat to leicester another woeful loss im already preparing for another loss when you have babies as a team what do you expect kelechi is scoring again for leicester city sell this bunch of below average players that cant think of winning but professional loosers he called me a goat i arsenal can never be taken as a good example because their decline has been consistent for the last half a decade on the other hand i dont see liverpool city opening up the gap you have seen liverpool this year everton westham leicester were dominant over them for weeks oh there must be alcohol lemme shock my liver small who knows where football bloody hell why are people moaning about a new sponsor nothing is as bad as that,"[('arsenal', 0.4144), ('liverpool city opening', 0.4587), ('leicester', 0.4871), ('leicester city', 0.4936), ('liverpool', 0.5045)]"
7,coming from a team who couldnt beat leicester in a cup finals still not as good as sector 5 in the video for paradise city you see guitarist smoking at a urinal who dah fuck is leicester city and how many of their mates are in ucl still not as good as sector 5 in the video for paradise city you see guitarist smoking at a urinal before he s obliged to sign some chap s leather jacket those bogs were at sector 5 an old rock nightclub in no just no need help with your childs behaviour chelsea even cant win fa cup against leicester 4 years in a row 4 years in a rowwwwwww the bastards are 2 leagues below,"[('fa cup', 0.4026), ('childs behaviour chelsea', 0.4376), ('chelsea', 0.4736), ('leicester city', 0.4941), ('leicester', 0.5189)]"
8,a point could be made here however that city would had purchased a centre back at the staof january and addressed shortcomings something the liverpool staff rejected liverpools season is defined by injury but it was also mismanaged in parts leicester had comparable injuries british bias at its finest all becos a german replaced an english man this selfish mentality will ruin chelsea fc on day schrodinger s sunderland say they re too good for league one but can t get out of league one as a posh fan i m not fond of lincoln city but you have to laugh stressful that was a we deserved to win the fa cup final we just had bullshit decisions against us that was poor scouting from chelsea oh my god this playoff semi,"[('chelsea fc', 0.4975), ('liverpool staff', 0.5041), ('chelsea', 0.5074), ('liverpool', 0.5108), ('liverpools season', 0.5693)]"
9,up there with those pathetic leicester city clapping aids why the fuck is leicester and stoke city there where is spurs chelsea amp leicester city have both been charged for failing to control their players during their last pl all of this english amp prem proven stuff is utter garbage sunderland dragging me through the wringer league one referees being an absolute disgrace charlie wyke missing an unforgivable sitter then scoring a much more difficult chance so far so conventional pro palestinian activists stood on the roof of an israeli weapons manufacturing factory in the british city of leicester yesterday calling for its closure drones manufactured in this factory are used in the attacks on the gaza strip video drunk ross barkley booted out of bar after row with diners,"[('leicester city', 0.5099), ('leicester', 0.5108), ('amp leicester', 0.5193), ('chelsea amp leicester city', 0.5564), ('pathetic leicester city clapping aids', 0.6729)]"
10,so dont lecture me when i live amongst the title winners and no a bit more than you wi l ever no yes i wish to fuck i didnt but i do liverpool city leicester utd have run the fa who are hiding the snail trail of abuse so many of those games were easily winnable but we lost due to individual mistakes because of the lack of squad depth burnley auba own goal leicester mustafi playing striker city balding not knowing how to jump everton leno own goal and so many others if youve not got an fbs account youre not a true leicester fan,"[('leicester', 0.5169), ('city leicester utd', 0.526), ('liverpool city leicester utd', 0.5393), ('leicester fan', 0.5531), ('true leicester fan', 0.5898)]"
11,completely wrong points deductions has always been bad and not fair and have always been disagreed with leicester city was the first team to be deducted points because they got promotion the same season as the went in to administration so blame them chelsea to drop points and miss out on champions league spurs to lose to leicest the five people on board the helicopter died in the crash the club chairman vichai srivaddhanaprabha pilot eric swaffer and his partner izabela lechowicz and two of khun vichais staff nusara suknamai and kaveporn punpare 25 oct 2019 leicester city dysfunction ayo poor colin thinks leicester city players are bigoted due to being bigoted yeah i think you better toodle off cunts 0 1 leicester winners chapel ni the one you sent leicester city wasnt delivered on this one too na failure,"[('wrong points deductions', 0.4446), ('leicester city', 0.4488), ('leicester', 0.4825), ('leicester city players', 0.4825), ('leicester city dysfunction', 0.6452)]"
