,tweetnegative,keyphrases
0, its a sad day for man city fans pep guardiola was too smafor his own good as manchester city lost to chelsea man city don destroy my sleeping pattern mchew and how many cl finals have man city been in people forget how tough these competitions can be although id agree pep made mistakes youre not talking about letting a league slip and a cl final anyone accuse klopp of being a bottle job this year no its how football goes chaotic conductor pep guardiola sees his champions league dream fall apart by manchester city have spent billions to have 0 champions league trophies to all man city fans karmas a bitch fuck the whole lot of you even if it was fixed manchester city didn t scored on those opportunities your point isnt valid carry on,"[('chelsea man city', 0.4792), ('pep guardiola', 0.4884), ('man city fans', 0.5102), ('manchester city didn', 0.514), ('man city fans pep guardiola', 0.686)]"
1,hell he should get fired damn it how many times will the idiot make the same mistake we won the epl courtesy of a weak liverpool man utd and a late renaissance chelsea we would have ended the season with nothing ffs pep out louder not for everyone manchester united fans issue man city reminder after champions league defeat man city had only one stupid shot on target throughout as a manchester united fan i don t want manchester city to win the champions league bet still i don t want this tou sergio aguero in tears as legendary man city career ends with champions league final loss to chelsea aguero the amount of money man city spend over the years and yet they still couldn t get the job done,"[('manchester united fans', 0.408), ('liverpool man', 0.4185), ('weak liverpool man utd', 0.4598), ('everyone manchester united fans', 0.4776), ('champions league defeat man city', 0.5402)]"
2,nobody is humore than manchester united fans right now not even the man city fans no matter what the result ends up being tonight to me at minute 43 of the first half manchester city look avoidant manchester city jadi manchester looser just a reminder to that man city will never be on this board even porto is on account is temporarily unavailable because it violates the twitter media policy learn more first we prevented manchester city s quadruple by knocking them out of the fa cup then we postponed the double by beating them in the league and now we ve won the fucking champions league final destroying citizen hopes of a triple too we are you want man city fans to pour their aggression on you,"[('avoidant manchester city jadi manchester', 0.4708), ('city fans', 0.4812), ('united fans', 0.5293), ('manchester united fans', 0.5752), ('man city fans', 0.5842)]"
3,1 pep guardiola has lost his first cup final as manchester city manager with this loss only the second major cup final defe when you cant even make giroux look good go on fuck off back home man city lost to chelsea manchester city coach pep guardiola explaining why he could not win the ucl against chelsea to mansour weird footy pitch no wonder manchester city lost just got home we lost im upset but we are city we are manchester city this city is still blue manchester city players were awestruck by the occasion too not a single outfield player managed to perform at their best kevin de bruyne leaves the pitch in tears after suffering a head injury,"[('chelsea manchester city', 0.5012), ('manchester city coach', 0.5037), ('manchester city manager', 0.5212), ('pep guardiola', 0.6051), ('chelsea manchester city coach pep guardiola', 0.7088)]"
4,until the day he returned empty handed from a hunt frustrated and caught her trying to teach gaston to read this sent him into flying rage how dare she tried to make his strapping lad into one of those fancy city boys he was a man he didnt need to know how to read fuck man city x mourinho won it with porto and this mug couldnt even win it with bayern and 1 billion squad man city fraudiola just as man united wasted all the goals they were suppose to score in final again roma so did man city against everton last sunday its a manchester thing worst 3 10 yet again pep fails to win a ucl with man city,"[('man city', 0.458), ('fuck man city', 0.4637), ('mourinho', 0.4642), ('man united', 0.5115), ('manchester thing', 0.5155)]"
5,we didn t just win it we beat peps city in the final the man that never loses european finals just lost manchester city till i die as much as i love football premier league and manchester city i don t think being so connected to this game has been good for my health maybe things will change but for now i will be taking a break from football for a while it just has too much control over my time and mood the first time is always painful manchester city can ask the ladies i dont follow a fool up chelsea down manchester city,"[('manchester', 0.4437), ('manchester city don', 0.4482), ('football premier league', 0.4519), ('manchester city', 0.4798), ('painful manchester city', 0.5579)]"
6,premier league teams suck dick man u lose to sixth place villareal and city first by 500 points lose to fucking chelsea who lost their final match which they needed to qualify for cl ended up qualifying cuz leicester suck dick you do it to yourself manchester city failed to create a single big chance for the first time in 55 games the last time it happened was aga i ve shamelessly whored around chelsea ft today just cause i didn t want city to win the ucl after what happened to man utd on wednesday its my worst day with manchester city i apologize to our supporters this is not the en,"[('man utd', 0.5192), ('chelsea ft today', 0.5203), ('premier league', 0.5217), ('fucking chelsea', 0.5441), ('leicester suck dick', 0.6286)]"
7,spencer now u know that i have been a passionate man city fan since october of 2020 however as a fan of the spoi hope we can both agree that this was bad for soccer chelsea blatantly cheated numerous times i just want better for mancity and better for the spoof soccer the 2020s belong to manchester city and theres nothing you fucks can do about it come back to me in 2031 chelsea fully deserved that manchester city a very average performance and pep guardiola cannot escape scrutiny for a tea i blame man city die muurskont se team porto portugal manchester citys players did not seem to want to leave not right away at you dont read thats the problem they clearly wrote pep guardiolas man city city are a pack of cards wee man,"[('manchester citys', 0.5349), ('manchester citys players', 0.5471), ('blame man city', 0.5518), ('passionate man city fan', 0.57), ('man city fan', 0.5819)]"
8,one manager doesnt have tactics the other has too many tactics successful but as i made clear i have no love for either club i was backing man city and we thought united players hated city blue is the fucking colour fvck man city fvck noel gallagher fvck oil money fvck the noisy neighbours fvck your blue moon and i am a fucking pigeon manchester a city united in grief itll still end in premium tears cos guardiola and his manchester city boys old horse face is gonna get banged like man city tonight its gonna be slow boring and not much of an explosion at the end i m killing myself if manchester city don t win this game aguero left tearful as man city career ends in c league loss,"[('man city tonight', 0.4847), ('manchester city boys', 0.5322), ('man city career', 0.5333), ('manchester city', 0.5493), ('manchester city don', 0.5563)]"
9,bro he ruined the game man hes done it for 4 years now man im tired i genuinely dont know if ill even enjoy next season i just wanted city to lose without me thinking about pep indeed what chelsea cant do against man city does not exist manchester city were too over confident in beating chelsea who has 2 champions league trophies i mean how nobody gave us a chance kevin de bruyne admits manchester city will be failures i man city will never qualify again btw pl table 17 18 man city pl table 18 19 man city liverpool champions league winners pl table 19 20 liverpool pl table 20 21 man city chelsea champions league winners we have not won a trophy in 4 years,"[('man city pl table', 0.4691), ('chelsea champions league', 0.5068), ('man city liverpool champions league winners', 0.5865), ('man city chelsea', 0.5884), ('man city chelsea champions league winners', 0.6311)]"
10,chelsea does not deserve to be in the final if we had been smarter we could have won against man city couldn t stand that united lost a final this week and had to just copy them i don t ever wanna hear this man city quadruple chat its dusted chelsea aren t going to allow it hey yall manchester city still didnt win the champions league wow they both lost manchester is shit these man city fans sick to their stomach rn top 5 useless football clubs in the world man city woke up feeling dangerous offensively man city were ass all their players got pocketed and he over did his tactics and chelsea had kante who dominated the whole pitch so chelsea fans are even broke people despite winning the against manchester city they cant even do,"[('man city couldn', 0.4474), ('chelsea', 0.4924), ('man city fans', 0.5078), ('chelsea aren', 0.5784), ('chelsea fans', 0.5872)]"
11,hahaaahahahaha man city you cunts but for the guardians of football integrity uefa botching their prosecution of city for blatant violations of ffp they wouldn t have played a minute of cl football this season let alone had a chance to pep the final you shouldn t talk to me next time bro man city fans crying man city lose eh i couldnt say a word because bae was vex i knew that either city or chelsea winning the cl was going to make united fans go against ole even more it was inevitable why can t we all as a fanbase get behind the manager and the team it s just annoying man every single one of us knows that ole needs to get backed,"[('united fans', 0.4777), ('man city lose', 0.494), ('city fans', 0.5149), ('man city fans', 0.5349), ('next time bro man city fans', 0.5574)]"
12,see how men fought and killing there selves after the match today chelsea vs man city rivers state poharcou nigeria a friend of mine who supports manchester city repeats load of rubbish forever and and a duck keeps replying lovely you pep guardiolas zealous pursuit of attacking perfection came back to haunt him flops who were crucial in beating madrid and man city shouldnt be given credit its fuck manchester city always no way we are doing business with you fights between chelsea and manchester city fans broke out for a second night in a row in porto man city fans clash with police in riot gear as crowds of supporters booze outside bars in porto,"[('match today chelsea', 0.5489), ('porto man city fans', 0.5723), ('man city fans', 0.5817), ('manchester city fans', 0.6091), ('fuck manchester city', 0.623)]"
13,you rightly focus on man city s sportswashing the uae s war crimes in yemen irish horse racing is also incriminated through sheikh al maktoum let alone his mistreatment of his ex wife and daughters hence the diversionary national furore over a horse trainer and a dead horse manchester city be one of useless clubs ever created in this world aaah wey kwasiaa play this i blame adam for listening the city manchester refuses both of the europeans trophies it wasnt meant to be for sergio aguero today bro he s so overrated wtf man city didn t even show up manchester city owners actually paid all their fans ticket fee just for them to go watch their team staplay without a dm and got beat in the champions league final man city were shocking pep a fraud,"[('manchester city', 0.4433), ('manchester city owners', 0.4488), ('man city didn', 0.4688), ('overrated wtf man city didn', 0.4891), ('dead horse manchester city', 0.5444)]"
14,man they just erased mahrez i really wouldnt have guessed that chelseas direct speed would be way lower than mcs gran s bado when i started highlighting how manchester city were backed funded and run by war criminals had hundreds of emails warn andrew cuomo and his brother exemplify rules for thee and not for me i am from ny and the vast majority of citizens outside the city genuinely are disgusted by the man he is paof the corruption that must be removed for that state to grow again if manchester city lose this title i will blame pep for that how can you play a final without a striker this is not man city are way worse i don t like the idea but you know when the lights come on ronaldo isn t going to freeze,"[('man city', 0.3876), ('manchester', 0.3935), ('mahrez', 0.4182), ('manchester city', 0.4591), ('chelseas direct speed', 0.5625)]"
15,knowing you re not winning the champions league again man city losing the ucl final is the saddest moment of my life thus far hahahhahaha man city biggest night of your history and you fucked it but why was antonio mateu lahoz crying in the manchester city chelsea match as a lad growing up i remember going to maine road for man city away when we were both absolute fucking shite it s not easy to swallow tonight but believe me you re a million miles from where your club started and lost 42 followers from city fans deactivating cba man sky sports reports that dozens of their fans are said to be devastated,"[('champions league', 0.474), ('manchester city', 0.4778), ('manchester city chelsea', 0.4914), ('city fans', 0.499), ('manchester city chelsea match', 0.5299)]"
