,tweetnegative,keyphrases
0, if man united pull some shit like this i genuinely will stop supporting them as a club and won t think twice about it as long as those two players are playing in midfield for manchester united they will not be winning any big trophies absolutely killing me to be missing el final manchester united s most important game in a long time i think it s outrageous that the president of the united states would validate a lifelong felon the man robbed pregnant women dealt drugs and committed many felonies in his life that s not the message to send to young people,"[('manchester', 0.3778), ('united', 0.441), ('manchester united', 0.5114), ('final manchester united', 0.5564), ('man united', 0.5707)]"
1,being funded with that amount and you should be lucky you have what you have because it makes no sense at all because if this is what he calls leveling up the whole united kingdom on peoples priorities and jobs and our environment because this man has no intelligence or any 3 clubs jostling for spot amp giving their fans headache on sunday really ran agenda against this man and leeds united anti black asian hate displayed abroad call it what it really is the chinese government and their military leaders feels its beneath them to facilitate to or negotiate with at any capacity a black man especially one who has acquired rank and power in the united states,"[('chinese', 0.2535), ('black asian hate', 0.2992), ('black man', 0.3023), ('amount', 0.3095), ('chinese government', 0.3359)]"
2,four years on from the tragic attack at the manchester arena my thoughts are with the 22 people who lost their lives th when is the white man going to get a break in the united states ffs would like to say fuck you to all the manchester united fans gassing suarez manchester united s website quoting a fans forum member specifically saying they won t want to see the club owned by an ar see why you cant rate these nigga footballers c quackity is far worse no c dream isn t innocent but he was a man pushed to that point and at least had for the greater good type goals wanting the server united c quackity just wants power for himself and power over others he s power hungry he s corrupt he doesn t,"[('manchester', 0.3653), ('united', 0.4162), ('manchester united', 0.4391), ('united fans', 0.5329), ('manchester united fans', 0.5401)]"
3,the post story points out that a video clip of rioters mobbing the capitol steps caught one man screaming at a police officer we were invited here we were invited by the president of the united states arsenal lost 8 2 in this kit against man united last game of the premier league tomorrow i wish we should of the win the title this year because sheffield united beat us at home flipping ridiculous then draw last minute against everton draw west brom obviously awful shocking this is title should be man united meanwhile back in newcastle a man protests with a cabbage manchester united will lose lee grant this summer after deciding against renewing his contract the 38 year old vete,"[('sheffield united', 0.4698), ('united', 0.4979), ('cabbage manchester united', 0.5015), ('manchester united', 0.5396), ('man united', 0.6269)]"
4,manchester united fan forum said you don t want arab owners why but you suppopeople who are dropping bombs on palestin ted cruz is the weakest man in the united states who allowed his wife to be insulted by a reality tv show personality and instead of defending her bent over backwards to defend him terrible family values and example to americans when a united ireland happens 4 years approximately these bullshit parades are banned you can fook off to the and ponse and parade in manchester or wherever you like man the united kingdom getting literally zero points in this year is such a tragedy what if we just delete england altogether eric cantona assaulted an english fan on live tv and got backed by manchester united and our fanbase and he is from france,"[('english fan', 0.3931), ('united fan', 0.4201), ('manchester united fan', 0.43), ('arab owners', 0.4612), ('delete england altogether eric cantona', 0.4717)]"
5,this weirdo said when did we ever back our foreign players eric cantona assaulted an english man on live tv and got backed by manchester united and our fanbase and cantona is from france omg look at the state of this tweet how can this be a real manchester united supporter im speechless we dont seperate our players based on their nationality you dont understand our football club you weirdo everyone would have been saying all shit especially manchester united fans what kind of man do you trust with the future of the united states indeed comrade general secretary but it is nothing compared to the humiliation suffered by the united kingdom not the singer s fault of course entirely the responsibility of lying charlatan a man who makes comrade schabowski look competent,"[('united supporter', 0.5378), ('united fans', 0.5639), ('manchester united fans', 0.5659), ('manchester united supporter', 0.5887), ('real manchester united supporter', 0.62)]"
6,manchester united don t understand their own fans frustration really i can quit manchester united any moment marcus rashford nil points the icing on the shit cake formerly known as the united kingdom james newman top man trust me they are proper clowns they are all glazers out but still go to the games like the glazers are watching man united vs fulham anyway they don t give a fuck scenes when man united loses to villarreal and united fans blame it on maguire s injury and then go and laugh liverpool fans for blaming 3 cb injuries for not winning the pl man just focus on fighting for europa spot cause if you play in the conference league next season the banter will be unbearable if this isn t about arsenal then why you making this about united lol,"[('manchester united don', 0.5261), ('liverpool fans', 0.5312), ('fans frustration', 0.544), ('man united', 0.566), ('united fans', 0.6264)]"
7,man city s goat liverpool s goat never won a prem and ate 6 on his last game this is why the public doesnt trust the media its so embarrassing having this man be the representative for the united states to the world hes a blithering idiot man united slander bad decision hauge akan terus berkembang seperti christiano ronaldo ketika di manchester united dulu jangan menyia nyiakan young guns manchester united will miss three of harry maguires attributes if hes injured for europa league final michail antonio won potm in july 2020 only player to win in that month we were 4th when lingard joined we are now 6th whats your point and why the fuck does an everton fan supports manchester uniteds manager,"[('liverpool', 0.4258), ('man united', 0.4558), ('everton fan', 0.4784), ('manchester uniteds manager', 0.4978), ('blithering idiot man united slander', 0.5023)]"
8,are you two dumb united beat barca in the ucl in 2008 and then beat chelsea in the final 14 year olds man redheads with alabaster skin and a united kingdom accent could make me kill a man and i would even need to be hypnotized united kingdom 9 1 for 0 slept on it man shocking behaviour man the public has been so tough for united kingdom spain and germany man this comment section is hilarious seeing people at each others throats you can really see why they call it the united states of america and the rest of the world call it the shit state that is america still cant believe that victor valded was ones a manchester united gk manchester united is losing but it s chelsea fans that are bleeding you little bitter loyalist muppet,"[('manchester united', 0.4482), ('united', 0.4507), ('gk manchester united', 0.4508), ('chelsea fans', 0.5243), ('dumb united beat barca', 0.6054)]"
9,our biggest problems this season have been the pivot maguires partner and the 0 0 you cant be this disrespectful really low iq bro we re talking about bruno fernandes the manchester united midfielder when spoke to about brand affinity do you think they meant being associated with a failed ownership model and a rioting fanbase association with the glazers is association with failure manchester united and barcelona said these guys ain t good enough both of them have won the league in their respective te the one time former moron guy the leader of the ignorant deplorables the loser of the united states of america to little old man sleeping in his basement lost the senate the white house georgia amp china war corona virus the terrorist that design the us capital invasions wrong answers only,"[('rioting fanbase association', 0.3688), ('manchester united midfielder', 0.4004), ('united', 0.4401), ('manchester united', 0.4573), ('failure manchester', 0.5092)]"
10,uk in the eurovision used to be good but now shite is this how manchester united fans feel did alexis get a send forth nope cos he was a divisive figure right before he left arsenal to manchester united the big problem with manchester uniteds stadium que su estadio est m s jodido que el de xochitepec o el 3 de marzo le han metido m s al mugroso azteca c mo ven a los millonarios con casa de calabaza does ozil deserve a send off after all the ruckus in the dressing room amp twitter sphere i stand with the only problem is he doesn t like manchester united if china released this man made china virus on us and the whole world then why cant the united states of america stop any money owed to china,"[('united', 0.3683), ('manchester uniteds stadium', 0.371), ('manchester united', 0.393), ('united fans', 0.4649), ('manchester united fans', 0.476)]"
