,tweetpositive,keyphrases
0, we end the premier league 2021 season with a bang it s better now just to think about aston villa amp hope for a bit of luck have won their last 3 away matches against aston villa last winning 4 in a row at villa park b it is a big week ahead of thomas tuchel and chelsea tuchel everybody is calm and well aware of what is needed we have full respect for aston villa and their quality and f win lose or draw tomorrow it ll be my last ever game at villa park i m just happy that i ll get to see my beloved aston v it was a tough season for me i know i can do a lot better but right now the most important thing is to finish the seas,"[('premier league', 0.4349), ('villa', 0.4383), ('aston villa amp', 0.4723), ('aston villa', 0.541), ('aston villa amp hope', 0.5999)]"
1,a win guarantees top four and 3rd place i so wish i was going to the game tomorrow i wish everyone who got tickets an amazing time shout extra loud for me and please god no matter what no booing even of the opposition positive vibes only have won their last three away games against aston villa having previously won four in a row at villa park between 1995 and 1999 hes better than all of them its never painful being a villa fan we started everything and dont you ever forget it im an old git and i still love walking towards villa park im in the aston inn with other old gits that love villa never say its painful being a villa fan vtid hopefully we are winning aston villa tommorow la volea al aston villa es perfecta,"[('villa fan vtid', 0.5302), ('love villa', 0.5432), ('aston villa', 0.5676), ('villa fan', 0.5762), ('aston villa tommorow la volea al aston villa', 0.5963)]"
2,tuchel everybody is calm and well aware of what is needed we have full respect for aston villa and their quality and for the premier league and away games in general so we need the best that we can be and this clearly includes the manager pat mcmahon a fringe player in jock steins great celtic side of the late 1960s had a decent spell with aston villa in t sweet caroline just came on in the car now even more buzzing to be back tomorrow president cup champs congratulations 04 aston villa 1 down 2 more to go id be sipping my favorite beer while watching the games tomorrow and laughing at clubs fighting for top 4 especial cant wait to set foot in villa park tomorrow afternoon for the first time in 462 days,"[('great celtic side', 0.4538), ('villa', 0.4611), ('aston villa', 0.5357), ('tuchel', 0.5423), ('tuchel everybody', 0.5573)]"
3,don t know if it s just me but i feel like all villa fans have a major soft spot for brentford and hope that they get promoted massive thanks the has helped build our website from the ground up can t wait for next season utv dms are open for anyone who needs them and they always will be if you want someone to talk to we re here it s better now just to think about aston villa amp hope for a bit of luck amp take all the risks that we can only take therell be no players rested no players on the bench it was all in and its all in we have full respect for aston villa and their quality and premier league away games in general and,"[('aston villa amp', 0.5382), ('brentford', 0.5509), ('aston villa', 0.5622), ('villa fans', 0.5816), ('aston villa amp hope', 0.6261)]"
4,kai havertz confirms he is fit and ready to play tomorrow i feel good i was lucky it was only a small injury we have full respect for aston villa and their quality and premier league away games in general and the spectators so we need our best the best that we can be and this clearly focuses us for the match especially if we win against aston villa tomorrow wishing all the lads good luck against chelsea whatever the result tomorrow you have done us proud this season shame i will not be at the ground but will be supporting from home as usual will be fantastic to see the fans back though,"[('villa', 0.3741), ('result tomorrow', 0.3767), ('kai havertz', 0.4137), ('aston villa', 0.4227), ('aston villa tomorrow', 0.5914)]"
5,as in ehn i just wish we beat aston villa tomorrow and then boom beat city next saturday what other joy can one ask for as a nigerian at this point in time thanks for mings and soon david brooks how good will it be to have fans back i m no villa fan but look at the below tweet it will be this lads last ever game at vp tomorrow fans give this lad a cheer or a shout tomorrow it will mean the world to him and sign off the season in style ty by setting a new clean sheet record for tomorrow is the stream you don t want to miss we fucking party depending on results or we cry either way it will probs be funny as fuck we will be live around 3pm,"[('tomorrow fans', 0.4886), ('shout tomorrow', 0.5054), ('vp tomorrow fans', 0.5182), ('villa fan', 0.5317), ('aston villa tomorrow', 0.624)]"
6,liverpool crystal palace liverpool wins went to rotterdam with the old man god bless him our mom god bless her taped the game on vhs for us for when we come back and remember this at the end both of us drinking ansells at the time if i only i could freeze frame a perfect moment in my life personally id sell adrian or let him go and look at back up goalkeepers with experience who are number 2s someone like tom heaton from aston villa or alex mccarthy from southampton who are both decent and would be good backup arsenal vs brighton arsenal win liverpool vs crystal palace liverpool win mancity vs everton man city win i actually love that this happened makes the sour grapes even sweeter aston villa and man city all the way,"[('liverpool', 0.561), ('everton man city win', 0.5768), ('crystal palace liverpool', 0.5959), ('win liverpool', 0.6201), ('liverpool crystal palace liverpool', 0.6203)]"
7,last game of the season tomorrow i wont be there but ill always remember how amazing this season has been much more quality work if anyone would like to join me after for a drink we are going to to watch the football and celebrate the end of my fundraising one last push for donations all for the unbelievable and only 16 5 miles till the end of my incredible journey 2 2 holte k5 at the back its where our season ticket is taking my son from age of 2 hes 16 now amp weve experimented with every stand when we had those years in the championship he insisted k5 where they stand sing loud all the time hope u amp ben have a gr8 day tomorrow,"[('holte k5', 0.3443), ('last game', 0.3458), ('season ticket', 0.4073), ('season tomorrow', 0.4449), ('gr8 day tomorrow', 0.4698)]"
8,villa fans i wanna there s is only one ben cash at the game tomorrow please retweet this guys is amazing forget the score tomorrow for us fans tomorrow who know we have the chance to go to vp again give this thread a read and pay respect to ben and emma shucks hey i will be watching it from my sofa regardless of the result at the final whistle will be thinking of you and your beautiful family the family are right behind you keep strong at least he scores goals and gives assists which is more than ramsey has done this season so far this is what my ideal pl teams would be,"[('ramsey', 0.4031), ('pl teams', 0.4073), ('ideal pl teams', 0.4358), ('villa', 0.5635), ('villa fans', 0.6216)]"
9,thank you elmo you have been a great professional and never let us down when called upon please dont go to the blues or the albion it was a tough season for me i know i can do a lot better but right now the most important thing is to finish the season well not long now can t wait to see you hun xoxox next game i supported aston villa and man city i stand with humanity manchester united win aston villa to restore world peace tomorrow if this is to be your last game for villa then thank you for your service elmo its been a pleasure having you here hoping to see more of bidace tomorrow definitely don t think he did anything wrong when he came on vs spurs,"[('villa', 0.3885), ('elmo', 0.4332), ('aston villa', 0.4392), ('humanity manchester united win aston villa', 0.4735), ('win aston villa', 0.5293)]"
