,tweetpositive,keyphrases
0, i m fairly confident we ll be able to outclass chelsea come next sunday course i said the same thing about lyon as well but i ll be good up until next saturday and then the nerves will hit lol sean dyche imho is a top draw manager definitely good enough for liverpool arsenal chelsea man city imho hes super underrated would like to see him at wolves before he manages ourselves chelsea man citys man utds liverpools my team will be winning very honest very o atl tico have officially won la liga with real madrid finishing runners up chelsea have young players and can improve and are city s biggest threat next year utd maybe if they signed kane rice sancho varane and mbappe,"[('chelsea man', 0.4592), ('chelsea', 0.4612), ('lyon', 0.4644), ('liverpool arsenal chelsea man city', 0.4742), ('next year utd', 0.4854)]"
1,pep guardiola on ucl final against chelsea i have an incredible good feeling that we will do well and well play a good g in and out of the violet melchett centre in chelsea in 5 minutes amazing hey guys what s a good newer coop video game i want something for me and chelsea to play chelsea knocked out both the la liga winner and runner up in the ucl this season not bad if chelsea got these 3 players this summer i would be over the moon nicolas anelka is one of our most underrated signings staat monaco because i want to live there good looking fits ladies let take this w billy gilmour enjoyed the moment in chelsea training,"[('ucl final', 0.4288), ('underrated signings staat monaco', 0.4352), ('chelsea training', 0.5086), ('chelsea', 0.5278), ('pep guardiola', 0.5635)]"
2,we want more leaders we want more players who care we want one of the best in their position we want someone who sees ch thomas tuchel is the right man to get the best out of timo werner according to julian nagelsmann chelsea will win the ucl but you ll win it at barca next year exclusive interview with inspirational chelsea goalkeeper edouard mendy on his incredible journey from the dole to the cha exactly if you watch clips of sancho on city academy its very similar he just turned 17 and was our top scorer on pl 2 and had many assists just need to be sharper on the ball and hes clearly improving on it like we see in that goal vs chelsea when turns nd shots instantly some good news for fans,"[('julian nagelsmann chelsea', 0.4809), ('thomas tuchel', 0.486), ('inspirational chelsea goalkeeper edouard', 0.4947), ('ch thomas tuchel', 0.495), ('tuchel', 0.5257)]"
3,please help retweet my pinned tweet we end the premier league 2021 season with a bang chelsea target aur lien tchouam ni has won the best young player of the season award for ligue 1 imagine chelsea winning the champions league and sancho tweeting i am signing for the champions league winner beautiful great work chelsea and thanks to the for publishing it thomas tuchel loves the chelsea academy the best video youll watch today if we can emulate the way chelsea and liverpool did their rebuilds when they were not in europe then we have a real chance of catching up and get into the top 4 well done chelsea liverpool fan very impressed,"[('beautiful great work chelsea', 0.4517), ('chelsea liverpool', 0.465), ('imagine chelsea', 0.485), ('chelsea liverpool fan', 0.4885), ('bang chelsea target aur lien tchouam ni', 0.5622)]"
4,the big 4 is city united chelsea liverpool all have that prestige and aura about them champions league is always better when it consists of these 4 long may it continue ameen and someone will tell me after watching the awesomeness of drogba to join another club very complete player and the perfect future relief of kante please chelsea bring him message well delivered tuchel is looking forward to the season finale i got you back always would love to see one of the amazing table showing arsenal second above man utd and chelsea in second half of season has fans dreaming of title bid,"[('liverpool', 0.4743), ('champions league', 0.4948), ('chelsea', 0.5196), ('chelsea liverpool', 0.5262), ('city united chelsea liverpool', 0.548)]"
5,believe in the team mate if they cant do it they wont be in the final i have faith in all the players win or lose they will always be a chelsea player and i will always suppothem and my club am proud of all my players they are warriors and fighter chelsea more than a club we always honor our past players chelsea invite babayaro here to be paof team to receive g excellent piece by one inspiring story what a night who else is buzzing for a big weekend of football thomas tuchel has become a fan of declan rice and will recommend him to director marina granovskaia and manchester ci he always produced in the big games,"[('football thomas tuchel', 0.3778), ('fighter chelsea', 0.3834), ('chelsea player', 0.4296), ('chelsea', 0.4626), ('past players chelsea', 0.4755)]"
6,finally turned her to a chelsea fan happy birthday baby i wish you all the success happiness and love in the world i 3 years ago real was european champion 3 times in a row in 5 years they won 4 champions league between 2001 until 2021 real madrid and barcelona won 9 champions league together while liverpool chelsea and manchester united won 4 champions league tuchel has high hopes for werner idk why but i feel like we will easily win the final no disrespect to chelsea but if we just play de bruyne its literally over lol it is a big week ahead of thomas tuchel and chelsea the academy at chelsea has really impressed tuchel another correct score won tomorrow chelsea we meuve olivia rodrigo im the love of your life until i make you mad,"[('liverpool chelsea', 0.5063), ('tomorrow chelsea', 0.5162), ('chelsea', 0.5224), ('chelsea fan', 0.5661), ('champions league tuchel', 0.5975)]"
7,3 years ago real was european champion 3 times in a row in 5 years he won 4 champions league between 2001 until 2021 real madrid and barcelona won 9 champions league together while liverpool chelsea and manchester united won 4 champions league the ultimate adventure shoe the grayson suede chelsea boots by oxford are a comfortable and stylish shoe for everyday wear thank you chelsea fc thomas tuchel reckons pressure on the final day is actually a good thing for chelsea absolutely incredible performance by these girls couldn t be prouder this is a top notch project done a scrutinized research on this and found it viable the personal attraction of this project is because its my club chelsea we live to dorminate if anything the listed teams will win today,"[('chelsea', 0.5124), ('chelsea fc thomas tuchel', 0.5275), ('grayson suede chelsea boots', 0.5345), ('chelsea boots', 0.5659), ('club chelsea', 0.5682)]"
8,chelsea forward kai havertz reckons the blues are close to unbeatable at their very best life was so much fun when tammy and mount started every game in lampards first season i dont think i ever loved chelsea the chelsea owner has risen in the latest rich list chelsea target aur lien tchouam ni wins the best young player award of ligue 1 chelseas players were in good spirits ahead of the trip to villa park the year inter wins and gets pot 1 in ucl atleti lille and sporting win and probably chelsea hahaha love rock festival well be celebrating the victory of man city for winning the ucl trophy by beating chelsea chelsea s work on combating antisemitism has been exceptional truly a guiding light in british sporting terms and something for chelsea fans to be proud of,"[('chelseas', 0.5845), ('chelsea hahaha love rock festival', 0.586), ('chelsea chelsea', 0.5915), ('chelsea', 0.6104), ('chelsea fans', 0.6191)]"
9,love and respect to you chelsea great personality im front of the camera i hope he gets chance to play for chelsea first team soon thank you chelsea it was a pleasure chelsea s 2022 aggressive olb s standout carson gray earns roster spot as follows up uw whitewater in reaching out congrats from carson keep up the great work are you guys gonna be open at 11 00 tomorrow for premier league i m a chelsea fan and i ve got buddies that are everton and man city fans that would love to come down there for the matches tomorrow thank u tom xx if chelsea win ill do about 10 greetings miss chelsea it s a pleasure to meet you my name is clegg and i m here to simp,"[('chelsea win', 0.4724), ('premier league chelsea', 0.4801), ('chelsea', 0.5005), ('chelsea fan', 0.5039), ('pleasure chelsea', 0.6034)]"
