,tweetpositive,keyphrases
0, leeds united is one big family 23 5 21 eland road will sing marching on together once again leeds united will win 3 0 proud to be leeds united always will be proud to be leeds united pablo for the winner family important precious honestly what a man i can t wait for him to sign a new contract this has made my day the fonz is a leeds fan very improved turf and 4 reinforcements 50 000 fans making elland road very happy along with another 5 million around the world personally i d say dallas vs man utd absolute beauty to say we was behind never gave up the fight far too many to choose from,"[('united', 0.4642), ('leeds', 0.5768), ('leeds fan', 0.5982), ('leeds united pablo', 0.6033), ('leeds united', 0.6707)]"
1,i dont think its hit me that tomorrow is berras and el magos last game at er devastated i cant be there pablo is the most talented player ive seen pull on the white shiand berra the personification of leeds united two legends our eras strach and batty first stint this is pretty cool strange but cool on the podcast yesterday made a great point that the high scoring fixtures on last day are the ones that hav best place to park free at elland road for tomorrow s game ragin to be working tomorrow and missing the match cant wait to hear and see the fans best in the world,"[('pablo', 0.3627), ('fixtures', 0.3718), ('high scoring fixtures', 0.4079), ('leeds', 0.4477), ('leeds united', 0.4825)]"
2,im going to soothe my brow by looking at the premier league table if mr bielsa ran the uk eurovision entry everyone would expect 0 and wed end up with a record points tally and looking great at the same time thanks for the entertainment tonight going to be emotional seeing pablo s last game i am intrigued to see if mowatt can get himself a premier league move after barnsley didn t make it leeds did it on manchester city liverpool chelsea era even manchester united semi strong this season come on qais we r supporting u all leeds united fans from lancashire,"[('leeds united', 0.4335), ('leeds united fans', 0.4474), ('premier league table', 0.4485), ('premier league', 0.4539), ('premier league move', 0.5639)]"
3,free all expenses paid holiday abroad innit ill do it right now im declaring that im volunteering to represent the uk at eurovision next year ill wear a leeds united shirt a leather jacket a kilt and big boots any genre im in tomorrow we finish our first season back home in 17 years in elland road and it has been an absolute joy to watch every week what a team what a club we silenced them all we did est oh god tomorrow is going to be emotional hope the crowd are loud no matter the performance or result let s give the lads a send off to remember this magnificent season ends on sunday and that beautiful smile is still very much alive gotta love leeds united played exceptional football through out the entire season,"[('united', 0.4096), ('leeds united shirt', 0.5298), ('leeds', 0.532), ('leeds united', 0.5718), ('love leeds', 0.6296)]"
4,fresh account any retweets would be much appreciated here to bring you up to date with the latest leeds united news opinion amp mark lawrenson have been impressed with what theyve seen of marcelo bielsa welcome to elland road give a follow and check out our collection of iconic images on the keep fighting dave dont give up everyone from is with you been so many from the likes of and and raphinia but the most enjoyable one was from the against with 10 men and the odds stacked we did it against peps boys wow what a win i will never forget this club and these fans pablo hernandez will bid a fond farewell to leeds united on sunday big day tomorrow leeds united lift the championship title at elland road,"[('elland', 0.3793), ('elland road', 0.4015), ('leeds', 0.5139), ('leeds united', 0.5688), ('latest leeds united news opinion amp mark lawrenson', 0.7034)]"
5,swans for life those white kits are always pleasing to eyes just like leeds united take each day as it comes never ever give up you are paof the leeds united family so you are never a if you needed reminding of the impact pablo hernandez has had since joining leeds united what a player htt suarez has scored some amazing goals just his ones against norwich make for a hell of a list but heny was so good technically in terms of goals vs leeds liverpool and united come to mind and build up he still jointly holds the prem assist record too beautiful to watch from fat frank dancing at elland road to derby fans begging for a new owner and scrapping relegation things i love too see,"[('liverpool', 0.4252), ('swans', 0.454), ('leeds united', 0.5306), ('leeds united family', 0.5318), ('leeds liverpool', 0.5454)]"
6,felipe baloy is a decent footballer but patrick bamford is more talented more skillful and more intelligent will quite rightly go down as a true legend stood strong when others turned against the club genuinely gutted to see him go but thanks for the memories berra tunes are banging in tonight arsenal chelsea leeds liverpool man city united and west ham all to win whelan delivers massive leeds verdict after what hes seen in person noel whelan has admitted he is buzzing to see leeds united fans back for sundays clash against west brom the former leeds striker speaking happy 30th birthday to ex leeds united loan player kyle bartley have a great day kyle all best wishes to you,"[('leeds liverpool', 0.4436), ('massive leeds verdict', 0.446), ('leeds united fans', 0.4637), ('ex leeds united loan player kyle bartley', 0.4718), ('felipe baloy', 0.5303)]"
7,i have taken the decision not to have any treatment im just going to enjoy what time i have left at least i got to see i m 33 and i m certain no single player has had more of an impact than this guy in my time as a supporter thank you pablo thank you pablo for all you ve done to make us proud of supporting leeds united you ve been the inspiration behind all that we have achieved over the last three seasons including our return to the top flight your name will forever be sung at elland road quality video pablo loves a megs,"[('pablo', 0.3027), ('supporter', 0.3669), ('elland road quality video pablo', 0.3897), ('leeds', 0.3971), ('leeds united', 0.4518)]"
8,its been an emotional week hugs with my gorgeous mum and dad eating a chinese in a restaurant drinks in pubs and 2 days with a very great mate why not finish it off with season 2 of take me home alaw almost forgot this weeks excellent shoot column from billy bremner 1976 great read don revie heads the table as the leeds united team have a celebratorial meal at their hotel after beating arsenal to wi iceland what an outfit i look up to coops and ayling i want to be like them as in their leadership style or ways i love the way they play goes in for the last day of the season simply because he is fu ing legend,"[('leeds', 0.4015), ('united team', 0.4104), ('emotional week hugs', 0.4308), ('leeds united', 0.4533), ('leeds united team', 0.4847)]"
9,on the podcast yesterday made a great point that the high scoring fixtures on last day are the ones that have little riding on them having checked the trends i agree leeds v wba west ham v sou and wolves v man united should be the fixtures with goals aplenty you have the leeds family lucy and we never leave family behind bittersweet with barnsley it would have been good to see them in the prem but whoever takes their place is an easier game for leeds you know that game would be a cup final for them two absolutely magnificent players and people their contribution to this buzzing for the game tomorrow such a nice feeling knowing your going to elland road again,"[('man united', 0.4416), ('leeds family', 0.4592), ('fixtures', 0.4745), ('leeds', 0.5323), ('high scoring fixtures', 0.5667)]"
