,tweetpositive,keyphrases
0, what a performance from the man of the match the world s best cdm no doubt friends of manchester city are you ready for the victory tonight 2 chelsea have won their last two matches against manchester city in all competitions both coming since thomas tuchel took both semi finals against madrid and the final versus city he was man of the match in all 3 by a mile thats what big players do no talk no hype just action speaking for them c sar azpilicueta on kai havertz this guy is going to be a superstar he is already he scored in a champions league f when kante turns up we win it is as simple as that man single handedly dominated real madrid and manchester citys midfi,"[('champions league', 0.4024), ('manchester citys midfi', 0.4295), ('chelsea', 0.4335), ('kante', 0.4833), ('tonight chelsea', 0.5072)]"
1,so happy to see man city lose to chelsea a beautiful day it was the best or worst first meeting tuchel on relentless c bbc spo chelsea boss thomas tuchel congratulates his team on their win over manchester city in the c city showed courage in really good final guardiola bbc spo manchester city manager pep guardiola says he is proud of his sides courage after their 1 0 chelsea fc are the champions i am planning to by my wife a man city jersey cause i love beating her just like we love beating man city aguero just as i predicted three weeks ago chelsea and villarreal have won uefa champions leag hear fans celebrate chelsea winning champions league chelsea clinched the champions league title after beating manchester city 1 0 in the all english final,"[('tuchel', 0.4856), ('chelsea', 0.4915), ('man city lose', 0.5159), ('champions league chelsea', 0.5327), ('chelsea boss thomas tuchel', 0.6051)]"
2,i love sergio aguero i love kevin de bruyne and win or lose i love manchester city we go again next year pep guardiola insists manchester city still had an exceptional season we are the champions of europe professor you re going to win the champions league chelsea players but man city have de bruyne one of the best midfielders in the premier league ngolo kant one of the greatest midfielders of his generation man of the match in the 2nd leg against atl tico in both semi manchester city will splash 150m on kane let s be serious they will end up winning it soon manchester city could have won the fa cup and the ucl to complete an unprecedented quintuple if manchester city win to day i will share 10k to all my followers,"[('champions league chelsea', 0.4681), ('sergio aguero', 0.4801), ('premier league ngolo kant', 0.484), ('manchester city win', 0.5306), ('love manchester city', 0.574)]"
3,cool picture but man city is small leicester clear everything about chelsea football club is very beautiful and sexy manchester city i laju sangat kante ni confuse man city sksksksk pape pun congrats chelsea if manchester city win the ucl tonight they ve done the treble can t wait for pep guardiola to achieve this man when you meet a man city fan give em a hug they need it manchester city has everything going for them ahead of the but the day favours chelsea chelsea will so much beat manchester city tonight manchester city have been brilliant for six months it s difficult to explain why pep would change the system on the bigge he did again won it against manchester city kante is indeed uefa president son in law,"[('man city fan', 0.5556), ('manchester city', 0.5558), ('manchester city kante', 0.5958), ('manchester city tonight manchester city', 0.6145), ('manchester city win', 0.62)]"
4,i think chelsea is going to win based on their last top forms in the matches against manchester city and do we beat atletico madrid real madrid and manchester city fully deserved all those wins too no element of luck this time so glad man city didnt win the champions league haha chelsea win the champions league for the second time with a 1 0 victory over manchester city in the final in yeah was just having a similar discussion with a friend we are quite a likeable team nowadays unlike the older teams with characters like terry jose even costa etc felt like alot of neutrals supported us today although a bit had to do with man city being the opponents haha chelsea are crowned uefa champions league winners after beating manchester city 1 0,"[('champions league winners', 0.5425), ('uefa champions league winners', 0.5619), ('chelsea', 0.5689), ('champions league haha chelsea', 0.5984), ('opponents haha chelsea', 0.6298)]"
5,feeling hella good hahahaha man city can win the league pero they can t win in the big cup won the champions league for the second time in their history after defeating manchester city 1 0 at the estadio ngolo kant one of the greatest midfielders of his generation man of the match in the 2nd leg against atl tico in both semi finals against real madrid and now again in the final against manchester city even by his incredible standards that s just phenomenal then im happy ahahahahag greater love hath no man than this that a man lay down his life for his friends champions league final matthew mcconaughey sends good vibes to chelsea for ucl final vs manchester city watch all thanks to the exciting new de,"[('chelsea', 0.4621), ('manchester city', 0.4733), ('champions league', 0.4839), ('good hahahaha man city', 0.5043), ('champions league final', 0.523)]"
6,still so gutted after wednesday so much gratitude to pep guardiola and manchester city for giving some joy to my week manchester city showing dominance in the league liverpool and chelsea making a mark in europe chelsea were crowned european champions for the second time as kai havertzs first half strike sealed a 1 0 victory over ma chelsea champion congratulations chelsea beat manchester city 1 0 to win the champions league final matching two of the richest and talented teams in england didnt let atletico real madrid and man city have a sniff of even a chance of victory no gratitude no humbleness no destiny this time chelsea really are the best team in europe if pep guardiola wins the champions league with manchester city is he the best football manager of all time,"[('europe chelsea', 0.5037), ('time chelsea', 0.5226), ('best football manager', 0.5392), ('congratulations chelsea', 0.5976), ('chelsea champion congratulations chelsea', 0.6575)]"
7,thomas tuchels mission has been accomplished hey life goes on and more games championships and trophies to fight for are yet to come liverpool lost vs real madrid and the next season they won it all so why not man city manchester city will defeat chelsea tonight and lift the champions league trophy thank you chelsea for saving the football world from a man city champion s league win chelseas kai havertz repaid some of his huge transfer fee as his first half goal sealed a 1 0 win for his side over manchester city in the champions league final on saturday est dio do drag o we are champions man city might win the next season cristiano ronaldos mum has touched more champions league trophies that chelsea and manchester city combined,"[('chelsea tonight', 0.4922), ('champions league trophy', 0.5094), ('champions league trophies', 0.5251), ('man city manchester city', 0.5609), ('champions man city', 0.5862)]"
8,jack harrison leading the way as leeds united aim to finish strongly while rodrigo took much of the acclaim after a brilliant two goal contribution off the bench to show he is finally looking like a record si but come to think of it i m so proud of kante i think he deserved to win this than the entire man city team long live king kante chelsea are champions league winners for a second time man city deserves it chelsea fc z european champion once again congrats to t tuchel and d lads for shaming our enemies especially fans champions league final man citys false nine approach has proved a pep guardiola stroke of genius via best team in europe yen yen yen yen,"[('champions league', 0.4185), ('kante', 0.4746), ('champions league final', 0.4922), ('king kante chelsea', 0.5159), ('champions league winners', 0.5413)]"
9,chelsea win the champions league for the second time with a 1 0 victory over manchester city in the final in porto first champions league final for man city under pep denied by tuchelsea this guy is a master tactician beating pep under 7 weeks is incredible congratulations to chelsea for winning the champions league against man city in porto portugal goal from kai havertz i really feel that man city will win it next year lg is very much a tribute to him the man who explained the history and the potential of glasgow to me i hope im doing him and my city proud well done to for a much deserved cup what a city started watching football in 2012 and already want to celebrate a ucl,"[('manchester city', 0.4283), ('porto first champions league', 0.4557), ('champions league', 0.5024), ('chelsea', 0.5363), ('champions league final', 0.5491)]"
