,tweetpositive,keyphrases
0, today manchester united have the opportunity to become only the 2nd side to go unbeaten in an entire premier league season aw good night man roller coaster day today lol cmon united youth will show wolves what our academy is the highest scoring epl game was man united s 9 0 defeat of ipswich in 94 95 season andy cole scored five times but then the depths of sadness manchester rose again the hate was drowned in love the city was united like never before and in 25 years of living or working in this city a gave never been prouder 4 4 manchester united completed patwo of the historic treble by beating newcastle united 2 0 in the haha i want this man to succeed at united so badly jadon sancho loves the idea of joining manchester united,"[('united', 0.4994), ('sadness manchester', 0.5831), ('manchester united', 0.5849), ('man united', 0.6364), ('today manchester united', 0.6543)]"
1,man its a beautiful saturday beers and bbq being the biggest team in england manchester united equally of recent has added to their records table by both the teams and that being held by the individual players bruno fernandes it is in a growth phase and the players are getting more and more the mentality that you bruno fernandes it is in a growth phase and the players are getting more and more the mentality that you should have what a night 3 years ago real was european champion 3 times in a row in 5 years they won 4 champions league between 2001 until 2021 real madrid and barcelona won 9 champions league together while liverpool chelsea and manchester united won 4 champions league retweet if youre proudly manchester united amp follow everyone,"[('champions league retweet', 0.4646), ('england manchester', 0.4677), ('manchester', 0.503), ('united', 0.5167), ('manchester united', 0.5889)]"
2,juan mata could bow out at manchester united by helping them finish the season unbeaten on the road for the first time in their history if they avoid defeat against wolves 3 years ago real was european champion 3 times in a row in 5 years he won 4 champions league between 2001 until 2021 real madrid and barcelona won 9 champions league together while liverpool chelsea and manchester united won 4 champions league varane new contract or united go on be a top top top man and reply marcus rashford manchester united player i would never say no to playing abroad other than united i m a big fan o,"[('real madrid', 0.4353), ('marcus rashford manchester united player', 0.4427), ('united player', 0.4795), ('manchester united player', 0.4814), ('juan mata', 0.5896)]"
3,exactly man my local team was founded 3 years ago they are like league 1 but in united states they won their league last year and were unbeaten at home i go to the games when i am off work 2018 glory glory man united manchester united have conveyed their interest in signing cristiano ronaldo amp he welcomes a return solskj r himself has a happy birthday manchester uniteds beautiful passionate queen manchester united u11s beat stoke city 6 3 kai rooney scored a hat trick and assisted the other three goals another man utd legend in the making manchester united should preserve their unbeaten away run today time to set another record united are favourites to win the europa league on wednesday the only trophy real madrid amp manchester united fans will celebrate this season is coppa italia,"[('manchester united fans', 0.6226), ('glory glory man united manchester united', 0.6359), ('man united', 0.6564), ('man united manchester united', 0.6645), ('trophy real madrid amp manchester united fans', 0.6942)]"
4,ole gunnar solskjaer is happy with manchester uniteds progress back from work since tuesday have done 61 hours 50 minutes and received a grand total of 112 90 tips do love working got another busy week missing both man united games yes it was a amazing evening ppl united in remembering all who sadly lost their lives manchester will never ever forget them all r i p to the 22 ppl who lost their lifes we remember you now and forever manchester united great sir alex ferguson praises phil foden and mason greenwood for inviting me to your channel to discuss something that i am very passionate about how to make manchester united great again i really enjoyed the experience amp i hope to do this again sometime soon,"[('man united', 0.4848), ('manchester', 0.4854), ('ole gunnar solskjaer', 0.4892), ('manchester united', 0.4926), ('manchester united great sir alex ferguson', 0.5374)]"
5,today manchester united have the opportunity to become only the 2nd side to go unbeaten in an entire premier league season away from home still a big game we will do what we do best heres a video explaining some of the benefits that could give us manchester united fans are blessed with attractiveness sound judgement fine analytical skills immense personal charm amp manchester united fans delivered good news about glazers we re gonna have lots of fun we hope to see you there on the 26th leeds did it on manchester city liverpool chelsea era even manchester united semi strong this season one of the greatest south american players to ever play in europe and that s from man united and argentina fan by the way man united s goat won everything and is still dominating at 36,"[('manchester united fans', 0.6211), ('man united', 0.6326), ('us manchester united fans', 0.635), ('today manchester united', 0.6381), ('immense personal charm amp manchester united fans', 0.6535)]"
6,1976 brotherhood of man i remember watching this with my parents like it was only yesterday my best moment on twitter this was huge man its was just like watching manchester united playing the final t he s shown his reliability this season featuring in all 37 premier league games so far this season at 23 the manchester united and england footballer has become the youngest person ever to top the sunday times giving li well done italy man oh man united kingdom hi lu im jini im 59 we live on the westcoast of canada im a mum of 3 grownish daughters amp a fur ball named kipling i too am on medical leave from work im an english football fan manchester united i love to swim it relieves my pain will marry anyone who owns a pool,"[('manchester', 0.451), ('united love', 0.4534), ('manchester united', 0.5148), ('man united', 0.5316), ('english football fan manchester united', 0.5875)]"
7,never forget that thomas partey has more league titles than manchester united since making his debut in football the best manager in the history of manchester united and the best manager in the history of the premier league the world will become a better place if juventus end up in europa league chelsea and man united both lose their finals my best moment on twitter this was huge man its was just like watching manchester united playing the final thank you david moyes i couldnt say any more than im hopeful jesse lingard might want to come here thats up to manchester uni manchester united can make history sergio aguero says goodbye to manchester city and the race for the champions league goes down to the wire 10 things to watch out for as,"[('champions league', 0.4235), ('europa league chelsea', 0.4359), ('manchester united', 0.4774), ('manchester uni manchester united', 0.5034), ('man united', 0.5255)]"
8,cristiano ronaldos man united return now closer than ever as a player in the 77 fa cup final he will always be one of my lately i find football really interesting cant wait to watch manchester united play ouch united kingdom good effoand way to take it in stride my man manchester united finally found their new no 7 stephen as a man amp being black you have done very well on espn amp in the united states of america because of your skill amp talent not the color of your skin that is how america works thru skill amp knowle you took the first step jim good man we always knew you would omg its lt united man yessssss we are the winners incredible from marcus rashford,"[('man united', 0.5072), ('manchester united play ouch united kingdom', 0.5177), ('man manchester united', 0.5343), ('man united return', 0.5688), ('lt united man yessssss', 0.5727)]"
9,manchester united star rashford is top of the giving list after his high profile ca a clinical finisher we were so lucky both bangladesh cricket and man united matches today i love my silly teams that often lose very winnable games welcome to manchester united manchester united fan agreed whole heartedly with liverpool fan glory glory man united main focus is manchester united shirts with the addition of random kits i really like if ole keeps them 2 muppets in midfield next season we be lucky to finish in 4th simply because chelsea liverpool man city and even leicester will have a better midfield than united that is my opinion manchester united games to remember from george best career man united biggest fan girl manchester united might have found their new dwight yorke,"[('manchester united', 0.5717), ('manchester united manchester', 0.5815), ('manchester united manchester united fan', 0.5914), ('opinion manchester united games', 0.6066), ('manchester united star rashford', 0.691)]"
10,man united is and will always be my family not only is he united s and england s too scorer ever he holds the record for most away goals in premier league history 94 george best the best of the best we take a look at one of the greatest players to ever p quite possibly my favourite man united player of all time if an asteroid was on course to hit earth vidic would head it clear please dont let me down dont let us down and dont let yourself down if you love this club sign the petition the glazer fa have fun man,"[('united', 0.532), ('united player', 0.5863), ('man united player', 0.6421), ('favourite man united player', 0.652), ('man united', 0.6529)]"
11,all swallows evolve united to perfect pilots by full truth hard work the moral abc unity love evolving man above above the ape the moral abc lightning1ike 6 billion strong amp were all one all one listen children eternal father eternally one marcus rashford playing abroad i would never say no other than manchester united im a big fan of real madr man utd star marcus rashford names two clubs he could leave united for im a big fan im attached to man united especially after educating myself more about its history george best bobby charlton sir matt busby sometimes i wonder how it feels stepping on that pitch just reminding yourself that this is where legends played i love my club,"[('man utd star marcus rashford names', 0.468), ('united', 0.4797), ('manchester united', 0.5032), ('real madr man utd star marcus rashford names', 0.5033), ('man united', 0.5521)]"
12,dont let anybody deceive you my dear sister you are a woman and may not be aware that arsenal is the third most successful club in the entire england football clubs buhari take note biafra is more united than united state of america and manchester united manchester united est le plus grand club anglais de l histoire he s had a strong season burnley boss sean dyche on former sheffield united man matt lowton man city to win thomas tuchel has revived chelsea s interest in re signing declan rice manchester united and manchester city are also interes we are manchester united fun and we suppo manchester uniteds bailly looking forward to europa league final against special villarreal fan view manchester united linked bissouma would be good signing,"[('manchester united', 0.476), ('fan view manchester united', 0.4791), ('arsenal', 0.4897), ('special villarreal fan view manchester united', 0.5248), ('suppo manchester uniteds', 0.5392)]"
13,ah lovely your old man was the gaffer when i fell in love with united love the side he put together swashbuckling retweet and like for a follow pls follow back too manchester united fc glory glory manchester united manchester united fans delivered good news about glazers the peoples person i mean first time winning the fa cup placed higher than spurs arsenal west ham newcastle united at the very least going into europa league where manchester united played all season it s not a bad season at all a lot to be proud of tamasha records has got the best of gospel music click on this link to listen to amata sambas music deliverer on youtube our unique number 7s design is now available in a 5 piece for a limited time only 65 an absolute bargain,"[('manchester united fans', 0.5007), ('united love', 0.5009), ('manchester united manchester united fans', 0.5066), ('glory manchester united', 0.5117), ('manchester united fc', 0.515)]"
14,i do not even hate man utd and i respect the club but that united fan is a sore loser i have nothing against united anyways and i love arsenal lol i liked watching united when i grew up so i can never hate them bruno fernandes is close to agreeing a new 200 000 a week contract with manchester united after admitting he is happy with the progress of ole gunnar solskjaers team on the day he would ve turned 75 take a moment to remember arguably the finest talent britain and ireland has ever pr there are plenty of clubs nowadays who could claim to be major names in world football but i believe that the three clubs with the biggest reputations history fan base and aura are man united real madrid and barcelona,"[('manchester united', 0.5396), ('man united real madrid', 0.5607), ('united fan', 0.5709), ('man united', 0.5894), ('man utd', 0.5908)]"
15,always man u ok i ll give you a utd dont sweat it pal 2nd is the new first at least at manchester united it is that has to stand for something right hmm im not sure about kelechi iheanacho to join man united hes got excellent talent scoring alot of goals to swap with martial then wasa yayi kyau we fight till the end man united deserve the league all of these ghost rider the incredible hulk iron man fantastic four avengers united they stand need to be released on disney now excited to share the latest addition to my shop rare the official manchester united colouring book set includes pencils poster amp colour photos sports memorabilia soccer vintage collectable as a manchester united fan i wish that manchester city will win the final,"[('official manchester united colouring book set', 0.5532), ('manchester united fan', 0.5875), ('end man united', 0.597), ('man united', 0.6258), ('manchester united', 0.626)]"
16,this gonna be a story soon chelsea becoming 3rd in the pl and loosing to manchester city trophyless definitely manchester united gonna win this should be your best on your playlist today cristiano ronaldo won his 1st ever champions league title with manchester united worth every penny attitude dedication focus and results bruno is a manchester united player no doubt ladies are loving this nakuhitaji is a vibe to tune to wolves have won just 2 of their last 18 matches since md33 last season without podence in the starting xi losing 11 while with him over that period it s a much improved w12 d5 l8 not to forget a glittering time at manchester united,"[('chelsea', 0.4406), ('united player', 0.4568), ('manchester united player', 0.4734), ('manchester city trophyless', 0.4899), ('manchester united', 0.4978)]"
17,he literally said other than united united is his home and other than them he loves real and barca and in the same quote he goes everybody watches real and barca so other than my gf i d love to date rihanna and beyonc but everybody loves rihanna and beyonc from fergie time to his never give up attitude i ll always have greatest admiration for sir alex and his management st marcus rashford playing abroad i would never say no other than manchester united im a big fan of real madrid and barcelona because theyve had great players and played attractive football everybody watches them,"[('manchester', 0.3599), ('united united', 0.3678), ('attractive football everybody', 0.379), ('real madrid', 0.3927), ('manchester united', 0.4059)]"
